标题,来源,发布时间,资讯类型,关键词,摘要,原文地址
160部法规难解决AI伦理问题，专家称面临终极准则难题,搜狐新闻,2021-06-04,新闻,"以人为本,外部安全,公平",人脸识别随处可见、自动驾驶事故频发、外卖骑手被困算法……随着技术突飞猛进，人工智能伦理问题逐渐显现。,https://www.sohu.com/a/470443600_161795
2021世界人工智能大会｜AI“成长的烦恼”无可避免 各界应携手积极面对,新民晚报,2021-07-07,新闻,"以人为本,公平,问责,透明,隐私","图说：2021世界人工智能大会 新民晚报记者 孙中钦 摄（下同）

人工智能自诞生以来，仅仅用了60多年，就已经能够识别物体、自动驾驶汽车、赢下围棋世界冠军……现在，这项技术的发展正以指数级增长，渗透人类生活的所有领域，回避已经不再可能。",https://baijiahao.baidu.com/s?id=1704620787862048246&wfr=spider&for=pc
2021世界人工智能大会｜伦理治理给人工智能更大创新空间,新民晚报,2021-07-10,新闻,"以人为本,公平,隐私","图说：薛澜与徐立在论坛上对话 新民晚报记者 孙中钦 摄

人工智能将带来哪些全新创新范式？人工智能的发展与治理存在怎样的关系？针对人工智能发展面临的诸多挑战性问题，清华大学苏世民书院教授、院长薛澜与商汤科技联合创始人、CEO徐立在“大爱无疆·共生” 论坛上展开对话。",https://baijiahao.baidu.com/s?id=1704880309583396611&wfr=spider&for=pc
2021中国城市数据治理工程白皮书,中国大数据产业观察,2021-08-23,新闻,"以人为本,内部安全,隐私",现代数字城市建设是推进国家治理体系和治理能力现代化的一个关键的行动。,http://www.cbdio.com/BigData/2021-08/23/content_6166412.htm
"AI 怎样促进城市可持续发展，城市发展又如何孕育 AI 技术 | 黄铁军,唐文斌,张博,曾毅,吴志强等大咖对话",健康界,2020-09-28,新闻,"以人为本,公平,问责",人工智能已成为新一轮产业变革的核心驱动力对世界经济、社会进步和人类生活产生深刻影响。,https://www.cn-healthcare.com/articlewm/20200927/content-1149276.html
AI伦理无法回避的5个问题：生物进化是否有方向？,网易,2017-04-18,新闻,公平,本文详细阐述了制定人工智能伦理需要回答的5个问题，提出“生物进化是否有方向“能否达成共识，将是未来制定人工智能（AI）伦理能否形成规范的关键。,https://www.163.com/tech/article/CIA5MG2I00098GJ5.html
AI副作用越来越明显，AI伦理委员会将成科技巨头标配？,百度,2019-09-16,新闻,"公平,隐私",科技公司或许很快会配备两个CEO：一个是Chief Executive Officer即首席执行官，另一个是Chief Ethical Officer即首席伦理官。,https://baijiahao.baidu.com/s?id=1643922573590093519&wfr=spider&for=pc
AI技术赋能 为城市治理提供新方向,今日头条,2020-11-26,新闻,"以人为本,外部安全,公平",新冠疫情的突袭为人类带来了巨大挑战，也为这些年智慧城市发展治理出了一道难题，在防控过程中暴露出了很多实际管控出现的问题，但此次疫情AI技术的赋能也为城市治理提供新方向。,https://www.toutiao.com/a6899258611776668172/?channel=&source=search_tab
AI治理论坛丨何积丰院士：可信人工智能,网易,2020-07-21,新闻,合作,非常高兴来参加人工智能治理会议，我想从技术和社会发展两个角度谈一下造成人工智能需要治理的原因是什么，在技术上、政策上有哪些东西还可以进一步加强。,https://www.163.com/dy/article/FI260ADF0511D98B.html
AI风雨兼程不忘责任在肩,新民晚报,2019-06-26,新闻,"以人为本,公平,问责,隐私","人工智能最近又成了热门话题：先是82岁的王德民院士AI修复旧照引起不小轰动；紧接着我国警方用AI一次找回4名走失10年的孩子……

　　18日的市政府新闻发布会上宣布，2019世界人工智能大会将于8月29日至31日在沪举行，设置“高端论坛、主题活动、应用展示和智能体验”四大模块。",http://xmwb.xinmin.cn/xmwbusa/html/2019-06/26/content_5_1.htm
GGAI 头条 | 新一代人工智能治理原则发布 发展负责任的人工智能,搜狐,2019-06-17,新闻,"以人为本,公平,问责",据中央广播电视总台中国之声《新闻晚高峰》报道，近年来，人工智能迅速发展，正在深刻改变人类社会生活、改变世界。,https://www.sohu.com/a/321267641_99914782
GitHub Copilot生成代码包含身份证号，B站CEO无端躺枪,量子位,2021-08-10,案例,"以人为本,内部安全,隐私","AI自动补全代码，结果补出来了一张别人的身份证？

GitHub Copilot又出神操作了。",https://www.qbitai.com/2021/08/27369.html
GitHub防黑客新措施：弃用账密验证Git操作，改用token或SSH密钥，14号0点已执行,量子位,2021-08-14,案例,"以人为本,内部安全,隐私","还在用账户+密码对GitHub上的Git操作进行身份验证？

赶紧整个token（令牌）或SSH密钥吧！

GitHub防黑客新措施：弃用账密验证Git操作，改用token或SSH密钥
8月14号0点（8月13日9:00 PST）开始，在GitHub上执行Git操作就会导致失败。",https://www.qbitai.com/2021/08/27586.html
